Acquirer,1,2,3,4,5
Chemical Financial,CHEMICAL FINANCIAL CORPORATION,EAGLE FINANCIAL CORP.,BNH FINANCIAL,COMMERCIAL FINANCIAL CORP.,EMCLAIRE FINANCIAL CORP
Farmers National Banc,FARMERS NATIONAL BANC CORP.,"FARMERS NATIONAL BANCSHARES, INC.",FIRST NATIONAL BANCORP,FIRST NATIONAL BANK CORP.,"MARS NATIONAL BANCORP, INC."
Horizon Bancorp,HORIZON BANCORP,"HORIZON BANCORP, INC.","HONOR BANCORP, INC.","HOWARD BANCORP, INC.","HOME BANCORP, INC."
WSFS Financial,"WSB FINANCIAL, LTD",FSB FINANCIAL CORP,WVS FINANCIAL CORP.,"SV FINANCIAL, INC.",WELLS FINANCIAL CORP.
Veritex Holdings,"VERITEX HOLDINGS, INC.","STEELE HOLDINGS, INC.","PIPER HOLDINGS, INC.","OTTEN HOLDINGS, LLC","PLATO HOLDINGS, INC."
First Interstate BancSystem In,"FIRST INTERSTATE BANCSYSTEM, INC.","FIRST STATE BANCSHARES, INC.","FIRST NEBRASKA BANCS, INC.","FIRST STATE BANCORP, INC.","FIRST INTERNATIONAL BANCSHARES, INC."
Delmarva Bancshares,"DELMARVA BANCSHARES, INC.","DENMARK BANCSHARES, INC.","DELAWARE BANCSHARES, INC.","LIMA BANCSHARES, INC.","ODEM BANCSHARES, INC."
Pinnacle Financial Partners,"PINNACLE FINANCIAL PARTNERS, INC.","HARTLAND FINANCIAL, INC.","FTS FINANCIAL, INC.",HANA FINANCIAL GROUP INC.,"HEARTLAND FINANCIAL USA, INC."
CenterState Banks,"CENTERSTATE BANKS, INC.",STATE BANK CORP.,"SUNTRUST BANKS, INC.","ROCHESTER STATE BANKSHARES, INC.",EXCHANGE STATE BANK CORP.
Merchants Bancshares,"MERCHANTS BANCSHARES, INC.",MERCHANTS BANCORP,FARMERS & MERCHANTS BANCORP,"MERCHANTS & FARMERS BANCSHARES, INC.","FARMERS & MERCHANTS BANCSHARES, INC."
Baylake,BAYLAKE CORP.,WALKER BAN CO.,"STATE BANCO, LTD.",COLBANK BANCORP,"LAKESIDE BANCORP, INC."
Heartland Financial USA,"HEARTLAND FINANCIAL USA, INC.","HARTLAND FINANCIAL, INC.","WSB FINANCIAL, LTD","SV FINANCIAL, INC.","FINANCIAL SHARES, INC."
FNB,"FNB, INC.","UB, INC.",FNB BANCORP,FNB COMPANY,"RBC, INC."
Home BancShares,"HOME BANCSHARES, INC.","HOPE BANCSHARES, INC.","HODGE BANCSHARES, INC.","SHORE BANCSHARES, INC.","HOMETOWN BANCSHARES, INC."
Northwest Bancorp,NORTHEAST BANCORP,FIRST NORTHWEST BANCORP,STATE BANCORP NORTHWEST,"SOUTHWEST BANCORP, INC.","NORTHEAST BANCORP, INC."
Citizens Finl Svcs,"CITIZENS FINANCIAL SERVICES, INC.","CITIZENS FINANCIAL GROUP, INC.","CITIZENS INVESTORS, LLC",FIRST CITIZENS FINANCIAL CORP.,"CITIZENS BANCORP, INC"
Amer Riviera Bank,AMERICAN RIVER BANKSHARES,"MID AMERICA BANKS, INC.",AMERICAN BANK INCORPORATED,"GRAND RIVER COMMERCE, INC.",BANK OF AMERICA CORPORATION
Suncrest Bank,"SUNTRUST BANKS, INC.","ESPUELA BANK SHARES, INC.","BUTTE BANK SHARES, INC.",FIRST BANK CORP,STATE BANK CORP.
Lakeland Bancorp,"LAKELAND BANCORP, INC.",TIMBERLAND BANCORP,HEARTLAND BANCCORP,CORTLAND BANCORP,SAN BANCORP.
BNC Bancorp,BNC BANCORP,NCAL BANCORP,CU BANCORP,BSB BANCORP INC.,"IBT BANCORP, INC."
