Index,Year,Acquirer Name,Acquirer State
2956,2015,Chemical Financial,Michigan
2957,2015,First Merchants,Indiana
2958,2015,Plaza Bank,California
2959,2015,Cathay Gen Bancorp,California
2960,2015,Unitedmmunity Banks,Georgia
2961,2015,Farmers National Banc,Ohio
2962,2015,Ameris Bancorp,Georgia
2963,2015,Sunshine Bancorp,Florida
2964,2015,Horizon Bancorp,Indiana
2965,2015,Wintrust Financial,Illinois
2966,2015,PacWest Bancorp,California
2967,2015,WSFS Financial,Delaware
2968,2015,Howard Bancorp,Maryland
2969,2015,Western Alliance Bancorp,Arizona
2970,2015,Veritex Holdings,Texas
2971,2015,Carolina Alliance Bank,South Carolina
2972,2015,Seacoast Bankg of Florida,Florida
2973,2015,First Interstate BancSystem In,Montana
2974,2015,Wintrust Financial,Illinois
2975,2015,Camden National,Maine
2976,2015,Delmarva Bancshares,Maryland
2977,2015,First Finl Bankshares,Texas
2978,2015,Wintrust Financial,Illinois
2979,2015,Pinnacle Financial Partners,Tennessee
2980,2015,Heartland Financial USA,Iowa
2981,2015,Hamilton Bancorp,Maryland
2982,2015,CenterState Banks,Florida
2983,2015,Unitedmmunity Banks,Georgia
2984,2015,Heritagemmerce,California
2985,2015,Merchants Bancshares,Vermont
2986,2015,Pinnacle Financial Partners,Tennessee
2987,2015,Bank of the Ozarks,Arkansas
2988,2015,Baylake,Wisconsin
2989,2015,Firstmmonwealth Finl,Pennsylvania
2990,2015,FNB Bancorp,California
2991,2015,Heartland Financial USA,Iowa
2992,2015,Southwest Bancorp,Oklahoma
2993,2015,Green Bancorp,Texas
2994,2015,FNB,Pennsylvania
2995,2015,Heartland Financial USA,Iowa
2996,2015,BNC Bancorp,North Carolina
2997,2015,Home BancShares,Arkansas
2998,2015,PBB Bancorp,California
2999,2015,Northwest Bancorp,Washington
3000,2015,Juniata Valley Financial,Pennsylvania
3001,2015,First Merchants,Indiana
3002,2015,Citizens Finl Svcs,Pennsylvania
3003,2015,Premier Finl Bancorp,West Virginia
3004,2015,Nationalmmerce,Alabama
3005,2015,Amer Riviera Bank,California
3006,2015,Preferred Bank,California
3007,2015,Independent Bank Group,Texas
3008,2015,Suncrest Bank,California
3009,2015,Glacier Bancorp,Montana
3010,2015,FNB,Pennsylvania
3011,2015,Lakeland Bancorp,New Jersey
3012,2015,Old Line Bancshares,Maryland
3013,2015,Prosperity Bancshares,Texas
3014,2015,BNC Bancorp,North Carolina
3015,2015,BB&T,North Carolina
3016,2015,Oak Valley Bancorp,California
3017,2015,California Bank ofmmerce,California
3018,2015,Park Sterling,North Carolina
3019,2015,Ameris Bancorp,Georgia
3020,2015,Pacific Premier Bancorp,California
3021,2015,CenterState Banks,Florida
3022,2015,Republic Bancorp,Kentucky
3023,2015,Yadkin Financial,North Carolina
3024,2015,Bank of the Ozarks,Arkansas
3025,2015,Revere Bank,Maryland
3026,2015,Renasant,Mississippi
3027,2015,Southern BancShares(NC)Inc,North Carolina
3028,2015,Heartland Financial USA,Iowa
3029,2015,Fidelity Southern,Georgia
3030,2015,German American Bancorp,Indiana
3031,2015,KeyCorp,Ohio
3032,2015,Seacoast Bankg of Florida,Florida
3033,2015,Cardinal Bankshares,Virginia
3034,2015,Bank of the Ozarks,Arkansas
3035,2015,United Bankshares,West Virginia
3036,2015,BNC Bancorp,North Carolina
3037,2015,County Bancorp,Wisconsin
3038,2015,MB Financial,Illinois
3039,2015,Hanmi Financial,California
3040,2015,Capital Bank Financial,Florida
3041,2015,WSFS Financial,Delaware
3042,2015,Great Western Bancorp,South Dakota
3043,2015,Charter Financial,Georgia
3044,2015,BBCN Bancorp,California
3045,2015,BOK Financial,Oklahoma
3046,2015,Franklin Financial Network,Tennessee
3047,2015,Pacificmmerce Bank,California
